Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Force (N),Acceleration - x (m/så_),Acceleration - y (m/så_),Acceleration - z (m/så_),Acceleration - resultant (m/så_),Angular Velocity - x (rad/s),Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
3.2,-5.16,-55.2,-1.5,-2.1,55.3,-14.6,12.9,4.9
3.21,-5.04,-54.9,-1,-2.6,55,-15,12.1,5.6
3.22,-4.98,-54.2,-0.9,-2.8,54.3,-15.3,10.7,6.2
3.23,-5.08,-53.6,-1,-2.7,53.7,-15.5,9.1,6.7
3.24,-5.32,-54.3,-1.4,-2.7,54.3,-15.6,7.3,7.2
3.25,-5.59,-56.2,-2,-2.8,56.3,-15.6,5.4,8.1
3.26,-5.79,-58.8,-2.7,-2.9,59,-15.5,3.3,9.6
3.27,-5.76,-61,-2.8,-2.9,61.1,-15.4,1.4,11.3
3.28,-5.45,-61.6,-2.1,-2.9,61.7,-15.3,-0.4,12.7
3.29,-4.47,-58.9,-1.1,-2.8,59,-15.1,-2,13.3
3.3,-4.65,-53.8,-0.2,-2.6,53.8,-14.8,-3.2,13.2
3.31,-4.84,-50,0.9,-2.7,50.1,-14.7,-4.1,12.1
3.32,-5.23,-51.4,1.1,-3,51.5,-14.8,-5,10.6
3.33,-5.96,-54.5,-0.2,-3.5,54.7,-15.2,-5.9,9.8
3.34,-6.84,-60.7,-1.2,-4,60.9,-15.5,-6.7,10.1
3.35,-7.44,-69.2,-0.8,-5.1,69.4,-15.4,-8,10.4
3.36,-7.55,-76.9,0.1,-6.4,77.2,-14.9,-10.5,9.7
3.37,-7.16,-80,0.7,-6.7,80.3,-14.2,-13.8,8
3.38,-6.48,-75.9,1.6,-5.1,76.1,-13.8,-14.5,6.4
3.39,-5.8,-69,2.7,-3.7,69.2,-13.7,-12.8,4.1
3.4,-5.2,-61.8,2.8,-3.5,62,-13.7,-10.6,1.4
3.41,-4.6,-55.6,1.9,-4.3,55.8,-13.6,-9.9,-0.5
3.42,-4.18,-50.1,1.3,-4.8,50.3,-13.5,-10.5,-1.5
3.43,-3.93,-45.3,1.7,-4.6,45.6,-13.4,-11.5,-2.3
3.44,-4.11,-42.7,2.7,-4.3,43,-13.5,-12.1,-3.5
3.45,-4.46,-42.9,3.8,-4.3,43.3,-13.8,-12.2,-5.5
3.46,-4.94,-46,4.7,-4.6,46.5,-14.3,-12.3,-8.1
3.47,-5.39,-50,5.2,-4.7,50.5,-15,-12.2,-11
3.48,-5.81,-53.5,4.5,-3.8,53.9,-16.1,-10.5,-13.5
3.49,-6.07,-56.6,2.6,-2.9,56.7,-17.2,-6.7,-15
3.5,-6.03,-59.4,0.6,-3.3,59.5,-18.1,-2.4,-15.2
3.51,-5.81,-60.8,-0.5,-4.4,60.9,-18.7,0,-14.5
3.52,-5.67,-60,-0.9,-5,60.2,-19.1,0.6,-13.6
3.53,-5.58,-58.1,-1.1,-4.6,58.3,-19.5,0.8,-12.5
3.54,-5.63,-56.7,-0.8,-3.9,56.8,-20,1.9,-11.6
3.55,-5.86,-56.4,-0.2,-3.2,56.5,-20.5,4.2,-11.3
3.56,-6.2,-58,-0.6,-3,58.1,-20.6,7.3,-11.5
3.57,-6.37,-61.1,-2,-3.3,61.2,-20.4,10.4,-11.1
3.58,-6.33,-64,-3.4,-4,64.2,-19.9,12.6,-9.6
3.59,-6.17,-65.3,-4,-4.6,65.6,-19.2,13.5,-7.5
3.6,-5.92,-64.9,-4.1,-5,65.2,-18.8,13.2,-5.1
3.61,-5.69,-63.1,-3.8,-5.1,63.4,-18.5,11.7,-2.6
3.62,-5.52,-60.6,-3.4,-4.5,60.9,-18.5,9.9,-0.3
3.63,-5.51,-58,-3.2,-3.4,58.2,-18.7,8.9,2.3
3.64,-5.62,-57.4,-3.4,-2.8,57.6,-19.1,9.4,4.5
3.65,-5.73,-58.5,-3.5,-2.9,58.7,-19.6,10.2,7
3.66,-5.84,-60.5,-3.2,-3.5,60.7,-20.3,10.4,9.5
3.67,-5.95,-62.9,-2.3,-4.4,63.1,-21.2,9.4,11.6
3.68,-5.91,-64.6,-1.2,-5.1,64.8,-22.1,7.2,12.9
3.69,-5.71,-64.9,0.1,-5.5,65.1,-22.7,4.2,12.9
3.7,-5.45,-63,1,-5.5,63.3,-23,1.2,11.8
3.71,-5.2,-60.1,1.4,-5.3,60.3,-23,-1.3,10.1
3.72,-4.99,-57,1,-5.2,57.2,-22.9,-3.1,8.4
3.73,-4.82,-54.5,0.6,-5.4,54.7,-22.8,-4.9,7.1
3.74,-4.61,-52.5,0.4,-5.9,52.9,-22.6,-6.9,6.1
3.75,-4.51,-50.7,0.7,-6.1,51.1,-22.4,-9.1,5.1
3.76,-4.46,-48.7,1.9,-5.6,49,-22.3,-10.7,3.7
3.77,-4.56,-47.3,3.5,-4.9,47.7,-22.4,-10.8,1.4
3.78,-4.95,-47.4,4.9,-4.4,47.9,-22.7,-9.8,-2
3.79,-5.48,-49.6,5.4,-4.4,50.1,-23.1,-8.2,-5.8
3.8,-6.08,-54,4.8,-4.8,54.4,-23.6,-6.3,-9.3
3.81,-6.66,-59.9,3.8,-5.8,60.3,-23.9,-5,-12.1
3.82,-7.02,-65.8,3,-6.7,66.2,-23.9,-4.5,-14.2
3.83,-7.01,-70,2.4,-7,70.4,-23.8,-4.3,-16
3.84,-6.64,-71,1.4,-6.9,71.3,-23.5,-4,-17.1
3.85,-6.06,-68.2,-0.1,-6.1,68.5,-23.2,-3.2,-17.3
3.86,-5.34,-62.3,-2,-4.6,62.5,-22.9,-1.2,-16.2
3.87,-4.82,-55.3,-3.8,-3.2,55.5,-22.6,2.2,-13.8
3.88,-4.47,-49.5,-4.7,-2.7,49.8,-22.1,5.8,-10.4
3.89,-4.17,-45.8,-4.4,-2.7,46.1,-21.4,8.7,-7.1
3.9,-4.08,-42.9,-3.5,-2.8,43.1,-20.5,11,-3.9
3.91,-4.26,-42.3,-3.1,-2.9,42.5,-19.8,12.2,-1.9
3.92,-4.75,-44.2,-2.8,-3.1,44.5,-19.2,13,-0.1
3.93,-5.25,-48.5,-2.5,-3.5,48.7,-18.9,13.5,1.5
3.94,-5.61,-53.6,-2,-3.8,53.8,-18.8,13.9,2.6
3.95,-5.82,-58.1,-2,-4.4,58.3,-18.8,13.8,3.6
3.96,-5.81,-61.1,-2.9,-5.2,61.4,-18.8,12.6,5.1
3.97,-5.75,-62.3,-3.6,-5.5,62.7,-18.8,9.8,7.4
3.98,-5.61,-61.9,-3.2,-4.9,62.2,-19,6.9,9.8
3.99,-5.49,-61,-2.1,-4.5,61.2,-19.3,4.5,11.6
4,-5.44,-60.2,-1.5,-4.6,60.4,-19.5,2,12.6
4.01,-5.46,-59.5,-1.6,-4.4,59.7,-19.3,-0.7,13.2
4.02,-5.51,-59,-1.7,-3.5,59.1,-18.7,-2.5,13.7
4.03,-5.6,-59,-1.4,-2.8,59.1,-18,-2.9,14.1
4.04,-5.69,-60,-0.7,-2.9,60,-17.4,-2.9,14.1
4.05,-5.7,-61.2,0.2,-3.8,61.3,-16.7,-3.8,13.2
4.06,-5.63,-61.7,0.6,-4.5,61.8,-15.9,-5.7,11.7
4.07,-5.52,-61,0.8,-4.6,61.2,-15.1,-7.9,10
4.08,-5.53,-59.8,1.2,-4.3,59.9,-14.3,-9.6,8.1
4.09,-5.67,-59.1,1.7,-4.1,59.2,-13.5,-10.5,6
4.1,-5.89,-59.7,1.5,-4,59.8,-12.8,-11.2,3.8
4.11,-6.07,-61.2,0.6,-4.1,61.3,-12.2,-11.8,2.3
4.12,-6.18,-62.9,-0.3,-4.2,63.1,-11.5,-12.3,1.9
4.13,-6.26,-64.3,-0.6,-4,64.4,-10.9,-12.6,2
4.14,-6.28,-65.3,-0.3,-3.9,65.4,-10.4,-12.7,2.1
4.15,-6.2,-65.7,0.1,-3.9,65.8,-9.9,-12.7,1.9
4.16,-6.03,-65.2,0.9,-3.8,65.3,-9.5,-12.7,1.3
4.17,-5.82,-63.2,2.2,-3.3,63.3,-9.3,-12.2,-0.4
4.18,-5.62,-61,2.9,-2.9,61.1,-9.4,-11.3,-2.3
4.19,-5.43,-58.8,2.8,-2.9,59,-9.6,-10.4,-4.3
4.2,-5.22,-56.7,2.4,-3,56.9,-9.8,-9.8,-5.8
4.21,-5.02,-54.5,2.2,-2.9,54.6,-10.1,-9.3,-7
4.22,-4.84,-52.3,2,-2.8,52.4,-10.6,-8.7,-8
4.23,-4.71,-50.5,2,-2.8,50.6,-11.1,-8.1,-8.8
4.24,-4.67,-49.2,2.1,-3,49.4,-11.6,-7.7,-9.7
4.25,-4.84,-48.7,2.3,-3,48.9,-12.2,-7.3,-10.7
4.26,-5.18,-49.7,2.5,-2.9,49.8,-12.7,-6.7,-11.8
4.27,-5.58,-52.4,2.4,-2.9,52.5,-13.2,-5.7,-13.1
4.28,-5.97,-56.1,2,-3.1,56.3,-13.6,-4.6,-14.2
4.29,-6.36,-60.1,1.3,-3.3,60.2,-13.7,-3.5,-15.1
4.3,-6.63,-63.7,0.4,-3.3,63.8,-13.7,-2.2,-15.5
4.31,-6.68,-66.7,-0.6,-3.3,66.7,-13.4,-0.8,-15.3
4.32,-6.5,-67.8,-1.3,-3.3,67.9,-12.9,0.4,-14.5
4.33,-6.2,-66.9,-1.8,-3.1,67,-12.4,1.3,-13.4
4.34,-5.83,-64.3,-1.7,-2.8,64.4,-11.8,2.4,-12.1
4.35,-5.42,-60.8,-1.2,-2.3,60.8,-11.3,3.7,-11.2
4.36,-4.99,-56.8,-0.6,-1.9,56.8,-10.5,5.2,-10.8
4.37,-4.52,-52.6,-0.4,-1.5,52.6,-9.6,6.8,-10.9
4.38,-4.2,-48.3,-0.6,-1.4,48.3,-8.6,8.4,-11
4.39,-4.21,-45,-1,-1.5,45,-7.5,9.7,-10.8
4.4,-4.47,-44.1,-1.1,-1.7,44.2,-6.5,10.4,-10.4
4.41,-4.7,-45.7,-0.9,-2,45.8,-5.5,10.6,-10
4.42,-4.83,-48.2,-0.7,-2.2,48.3,-4.7,10.5,-9.8
4.43,-4.93,-50.4,-1.3,-2.4,50.5,-3.9,10,-9.2
4.44,-4.75,-50.9,-1.8,-2.2,50.9,-3.3,9.5,-8.1
4.45,-4.5,-49.7,-1.3,-1.7,49.7,-2.9,9.3,-7
4.46,-4.39,-47.6,-0.6,-1.3,47.7,-2.8,9.8,-6.4
4.47,-4.51,-46.4,-0.4,-1.2,46.4,-2.8,10.7,-6
4.48,-4.87,-47.2,-0.6,-1.4,47.2,-2.9,11.4,-5.6
4.49,-5.38,-50.3,-0.4,-1.6,50.3,-3.1,12,-5.1
4.5,-5.95,-55.4,0.5,-1.9,55.4,-3.1,12.6,-5.2
4.51,-6.36,-61.2,1.2,-2.5,61.3,-2.8,12.7,-6.4
4.52,-6.48,-66,0.9,-3.1,66.1,-2.4,12,-7.8
4.53,-6.23,-67.9,0.1,-3.5,68,-2.1,10.6,-8.6
4.54,-5.73,-66.2,-0.5,-3.2,66.3,-2,8.9,-8.7
4.55,-5.2,-61.5,-0.8,-2.3,61.5,-2.1,7.9,-8.3
4.56,-4.7,-55.6,-1,-1.3,55.6,-2.2,7.9,-7.6
4.57,-4.41,-50.3,-0.9,-0.6,50.4,-2.3,8.9,-6.8
4.58,-4.42,-47,-0.6,-0.5,47,-2.3,10.2,-6.1
4.59,-4.73,-46.4,-0.2,-0.7,46.4,-2.3,11.4,-5.9
4.6,-5.21,-48.7,0.2,-1.1,48.8,-2.3,12.4,-6
4.61,-5.66,-53.1,0.5,-1.7,53.2,-2.3,12.8,-6.6
4.62,-5.98,-58.2,0.6,-2.5,58.2,-2.2,12.5,-7.4
4.63,-6.18,-62.4,0.5,-3.1,62.5,-2.1,11.1,-8.3
4.64,-6.18,-64.8,0.1,-3.3,64.8,-2.1,9.1,-8.9
4.65,-5.95,-64.9,-0.7,-2.8,65,-2.2,7.3,-8.8
4.66,-5.6,-62.7,-1.3,-1.9,62.8,-2.4,6.5,-8
4.67,-5.2,-59.2,-1.4,-1.1,59.2,-2.7,7.1,-6.8
4.68,-4.83,-55.1,-1.3,-0.7,55.1,-2.9,8.3,-5.6
4.69,-4.54,-51.4,-1,-0.6,51.4,-3.2,9.7,-4.6
4.7,-4.34,-47.8,-0.5,-0.9,47.8,-3.7,10.9,-3.6
4.71,-4.26,-45.9,-0.4,-1.2,45.9,-4.1,11.2,-3
4.72,-4.38,-44.9,-0.4,-1.3,45,-4.6,11.2,-2.4
4.73,-4.68,-45.5,-0.1,-1.1,45.5,-5.3,11.8,-1.9
4.74,-5.15,-48,0.6,-1,48.1,-6.2,13.2,-1.9
4.75,-5.76,-52.7,1.5,-1.5,52.8,-7.1,15.2,-2.7
4.76,-6.31,-58.9,1.8,-2.6,59,-7.8,16.8,-4.3
4.77,-6.69,-65.2,1.2,-3.9,65.3,-8.3,17.2,-6
4.78,-6.72,-69.6,-0.1,-4.9,69.7,-8.5,16.3,-7
4.79,-6.38,-70.6,-1.9,-5.3,70.8,-8.8,14.4,-6.6
4.8,-5.92,-68.2,-3.2,-5,68.4,-9.3,12,-4.9
4.81,-5.47,-63.4,-3.7,-4.2,63.7,-10.1,9.8,-2.2
4.82,-5.14,-58.2,-3.5,-3,58.4,-11.2,8.8,0.9
4.83,-4.99,-54.2,-2.9,-2,54.3,-12.4,9.4,3.7
4.84,-4.93,-52.1,-2,-1.7,52.1,-13.7,11.2,6
4.85,-4.85,-51.7,-1.2,-2.2,51.7,-15.2,13.1,7.7
4.86,-4.86,-52,-0.5,-3.2,52.1,-16.7,14.1,8.7
4.87,-4.95,-52.8,-0.2,-4.3,53,-18.2,13.8,9.4
4.88,-4.98,-53.9,-0.1,-5.2,54.1,-19.7,12,9.7
4.89,-4.89,-54.6,0,-5.9,54.9,-21,9.1,9.7
4.9,-4.79,-54.4,0,-6.3,54.8,-22.1,5.3,9.5
4.91,-4.69,-53.6,-0.1,-6.7,54,-22.9,1.2,9.3
4.92,-4.56,-52.4,-0.3,-6.8,52.9,-23.5,-2.9,9.2
4.93,-4.46,-51.1,-0.5,-6.8,51.6,-23.9,-6.6,9.3
4.94,-4.47,-50,-0.6,-6.8,50.5,-24,-9.6,9.4
4.95,-4.47,-49.5,-0.3,-6.7,49.9,-24.1,-12.1,9.4
4.96,-4.68,-49.8,0.3,-6.5,50.2,-24.1,-13.9,8.9
4.97,-4.9,-50.6,1.9,-5.7,51,-24.1,-14.6,7.2
4.98,-5.12,-51.6,3.5,-4.8,51.9,-24.3,-13.4,4.8
4.99,-5.28,-52.5,4.8,-4.1,52.9,-25,-10.8,1.6
5,-5.43,-53.4,5.4,-3.8,53.8,-25.9,-7.4,-2.1
5.01,-5.42,-54.1,5.2,-4.3,54.6,-26.8,-3.7,-5.8
5.02,-5.32,-54.5,4.8,-5.3,55,-27.5,-1,-9.5
5.03,-5.2,-54,4.2,-6.3,54.5,-27.9,0.6,-12.9
5.04,-5.16,-52.8,3.3,-6.7,53.3,-28.1,1.5,-16
5.05,-5.23,-51.9,1.8,-6.6,52.3,-28.2,2.5,-18.3
5.06,-5.37,-51.9,-0.3,-6.3,52.3,-28.1,4,-19.3
5.07,-5.53,-52.8,-3,-6,53.2,-27.9,5.8,-18.4
5.08,-5.63,-54.4,-5.8,-5.9,55,-27.5,7.4,-15.5
5.09,-5.71,-56.3,-7.8,-6.2,57.2,-27.1,7.9,-10.6
5.1,-5.82,-58.3,-8.4,-6.5,59.3,-27,6.9,-4.6
5.11,-5.91,-60.2,-7.6,-6.3,61,-27.1,4.9,1.3
5.12,-5.93,-61.6,-6.1,-5.4,62.1,-27.5,3.3,6.2
5.13,-5.8,-62.1,-4.7,-4.3,62.4,-28,3.1,9.8
5.14,-5.51,-61.6,-3.5,-3.7,61.8,-28.6,4.3,12.3
5.15,-5.18,-60.2,-2.4,-4,60.4,-29.3,5.7,14.1
5.16,-4.93,-58.5,-1.4,-5.1,58.8,-30.2,5.8,15.3
5.17,-4.73,-57.1,-0.1,-6.7,57.5,-31.1,3.8,15.5
5.18,-4.57,-55.5,1.9,-8.1,56.1,-31.5,-0.1,14.1
5.19,-4.41,-53.1,4.4,-8.6,54,-31.7,-4.5,10.7
5.2,-4.42,-49.9,6.4,-8.5,51,-31.7,-7.7,5.4
5.21,-4.69,-47.4,7.2,-8.1,48.7,-31.8,-9,-0.7
5.22,-5.31,-47.7,6.4,-8,48.8,-32,-8.8,-6.2
5.23,-6.15,-53.2,4.9,-8.8,54.1,-32.4,-7.8,-11.1
5.24,-7.02,-61.1,4.2,-10,62.1,-32.5,-7.8,-13.8
5.25,-7.48,-69.1,4.1,-10.6,70,-32.6,-8.2,-16.1
5.26,-7.5,-73.5,3.3,-10,74.3,-32.7,-7.6,-18.1
5.27,-7.03,-73.1,0.6,-8.5,73.6,-32.8,-4.5,-19
5.28,-6.33,-68.8,-3.5,-7.1,69.2,-32.6,0.4,-17.6
5.29,-5.5,-62.6,-6.8,-6.4,63.3,-32,5.5,-13.7
5.3,-4.79,-56.3,-7.7,-6.5,57.2,-31.1,8.8,-8.5
5.31,-4.35,-50.6,-6.5,-6.5,51.5,-30.3,10.2,-3.8
5.32,-4.2,-46.6,-5,-6.3,47.3,-29.6,10.2,-0.3
5.33,-4.28,-44.8,-4.2,-6,45.4,-29.2,9.7,2.4
5.34,-4.54,-45.4,-4.1,-6,46,-28.8,8.9,4.9
5.35,-4.92,-48.2,-4.3,-6.1,48.8,-28.6,7.8,7.5
5.36,-5.23,-52.4,-4.3,-6.5,53,-28.5,5.9,10.3
5.37,-5.35,-56.6,-4.1,-7.1,57.2,-28.4,3,13.1
5.38,-5.31,-59.6,-3.4,-7.4,60.2,-27.9,-1,15.3
5.39,-5.23,-60.3,-1.7,-7.2,60.8,-27,-5.3,16.3
5.4,-5.09,-59.1,0.3,-6.3,59.5,-25.6,-8.7,15.4
5.41,-5.13,-57,2,-5.2,57.3,-23.9,-10.3,12.8
5.42,-5.16,-55.5,2.9,-4.6,55.8,-22.5,-10.4,9.3
5.43,-5.22,-54.9,2.8,-4.3,55.1,-21.5,-9.9,5.9
5.44,-5.39,-55,2.4,-4.3,55.2,-20.7,-9.3,3.2
5.45,-5.55,-56,2.5,-4.5,56.3,-20,-9.1,0.8
5.46,-5.65,-57.8,3.4,-4.9,58.1,-19.3,-9.5,-1.8
5.47,-5.67,-59.2,4.2,-5.5,59.6,-18.5,-10.7,-4.9
5.48,-5.62,-59.6,4.2,-5.6,60.1,-17.9,-12.2,-8
5.49,-5.53,-58.8,3.6,-5.1,59.2,-17.6,-13,-10.4
5.5,-5.39,-56.7,2.6,-3.8,56.9,-17.6,-11.9,-12.1
5.51,-5.2,-54.7,1.7,-3.1,54.8,-17.6,-9.6,-12.8
5.52,-5.07,-52.8,0.7,-2.7,52.8,-17.4,-7,-13
5.53,-5.13,-51.5,-0.2,-2.5,51.5,-17.1,-4.6,-12.6
5.54,-5.41,-51.8,-0.5,-2.4,51.9,-16.7,-2.5,-12
5.55,-5.63,-53.9,-0.2,-2.3,53.9,-16.3,-0.5,-11.6
5.56,-5.89,-56.7,0.2,-2.4,56.7,-15.8,1.4,-11.9
5.57,-6.07,-59.3,0.2,-2.5,59.3,-15.2,3,-12.6
5.58,-6.11,-61.3,-0.2,-2.5,61.4,-14.4,4.5,-13.2
5.59,-6,-62.3,-0.6,-2.3,62.3,-13.5,6.1,-13.5
5.6,-5.77,-61.9,-1.5,-2.4,62,-12.4,7.4,-13.4
5.61,-5.4,-60.1,-2.5,-2.5,60.2,-11.2,7.9,-12.5
5.62,-5.05,-57.1,-3,-2.5,57.2,-10,7.7,-10.8
5.63,-4.75,-53.4,-3,-1.9,53.5,-9.1,7.4,-8.8
5.64,-4.6,-50,-2.6,-1.3,50.1,-8.4,7.6,-6.9
5.65,-4.72,-48.1,-2.3,-0.9,48.2,-7.8,8.2,-5.1
5.66,-5.06,-48.3,-1.9,-0.7,48.4,-7.4,9.3,-3.6
5.67,-5.49,-50.8,-1.4,-0.5,50.9,-7,11,-2.5
5.68,-5.93,-54.9,-0.6,-0.7,55,-6.8,13.2,-1.9
5.69,-6.28,-59.9,0.2,-1.4,59.9,-6.5,15.5,-2.1
5.7,-6.42,-64.6,1,-2.7,64.7,-5.9,16.7,-3.3
5.71,-6.49,-68,1.1,-3.8,68.1,-5,16.3,-4.9
5.72,-6.41,-69.3,0.5,-4.3,69.4,-3.7,14.4,-6.5
5.73,-6.16,-68.5,-0.7,-3.9,68.6,-2.3,12.1,-7.3
5.74,-5.83,-65.9,-1.9,-3.1,66,-1,10.4,-7
5.75,-5.5,-62.1,-2.6,-2.1,62.2,0.1,9.9,-5.6
5.76,-5.22,-58.3,-2.5,-1.4,58.4,0.9,10.4,-3.8
5.77,-5.04,-54.5,-1.2,-1,54.5,1.8,12.3,-2.2
5.78,-4.99,-53,0,-1.4,53,2.4,13.9,-2
5.79,-4.88,-52.7,1.2,-2.1,52.7,3.2,14.6,-2.9
5.8,-4.72,-52.5,2.1,-2.8,52.6,4.3,14,-4.8
5.81,-4.62,-51.9,2.3,-3.2,52,5.5,12.3,-7.2
5.82,-4.5,-50.8,1.8,-3.3,51,6.8,9.8,-9.5
5.83,-4.47,-49.6,1,-3.1,49.7,8,7.2,-11.1
5.84,-4.61,-48.9,0.3,-2.6,49,8.9,5,-11.8
5.85,-4.67,-48.9,-0.1,-2.1,49,9.5,3.9,-11.8
5.86,-4.6,-49.1,-0.3,-1.6,49.1,9.7,3.9,-11.4
5.87,-4.54,-48.6,-0.2,-1.3,48.7,9.8,4.8,-11.1
5.88,-4.41,-48.1,0.1,-1.6,48.1,10,5.9,-11.1
5.89,-4.31,-47.9,0.5,-2.4,47.9,10.2,6,-11.5
5.9,-4.24,-47.5,0.8,-3.3,47.7,10.3,4.4,-12.3
5.91,-4.35,-47.5,0.8,-3.9,47.7,10.2,1.4,-13
5.92,-4.63,-48.1,0.6,-4,48.2,9.6,-2.3,-13.3
5.93,-5.07,-49.9,0.5,-3.8,50.1,8.6,-5.6,-13.1
5.94,-5.61,-53.3,0.4,-3.5,53.4,7.3,-7.9,-12.6
5.95,-5.98,-57.5,0.3,-3,57.6,6,-9.1,-11.9
5.96,-6.08,-60.8,0,-2.1,60.9,4.6,-8.8,-11
5.97,-5.91,-62,-0.2,-1.4,62,3.3,-7,-10
5.98,-5.53,-61.3,-0.2,-1.5,61.3,2.1,-4.8,-9.1
5.99,-5.05,-59,0,-2.4,59,1.1,-4.1,-8.3
6,-4.64,-55.5,0.4,-3.4,55.6,0.2,-5.4,-7.9
6.01,-4.43,-51.8,1,-3.8,51.9,-0.6,-8,-7.9
6.02,-4.45,-49,1.6,-3.8,49.2,-1.5,-10.7,-8.2
6.03,-4.74,-48.2,2.5,-3.4,48.4,-2.8,-13,-9
6.04,-5.23,-49.8,3,-2.7,50,-4.1,-13.4,-10
6.05,-5.73,-53,2.8,-1.7,53.1,-5.6,-11.9,-11
6.06,-6.17,-57.1,1.7,-1,57.1,-7,-8.7,-11.5
6.07,-6.46,-61.6,0.5,-1.2,61.6,-8.2,-5.2,-11.3
6.08,-6.56,-65.5,-0.1,-2.4,65.5,-9,-3.1,-10.6
6.09,-6.4,-67.7,0.1,-3.7,67.8,-9.5,-3.1,-10.1
6.1,-5.98,-67.2,1.1,-4.6,67.4,-10.2,-4.7,-10
6.11,-5.45,-63.7,2.4,-4.4,63.9,-11,-6.6,-10.9
6.12,-5.02,-57.8,3,-3.1,58,-12.2,-7,-12.3
6.13,-4.92,-52.2,2.3,-1.4,52.3,-13.4,-4.8,-13.5
6.14,-5.08,-49.2,1.1,-0.4,49.3,-14.4,-0.5,-14.2
6.15,-5.54,-50,-0.3,-0.5,50,-15.1,4.6,-14.2
6.16,-6.16,-54.3,-1.4,-1.5,54.3,-15.4,9.2,-13.7
6.17,-6.76,-61.1,-2.3,-3.4,61.3,-15.5,12.1,-12.7
6.18,-7.06,-68.3,-1.9,-5.4,68.5,-15.6,12.5,-11.5
6.19,-7.09,-73.2,-0.6,-6.5,73.5,-15.9,10.5,-11.1
6.2,-6.94,-74.2,0,-6.1,74.5,-16.3,7.9,-11.4
6.21,-6.72,-72.2,-0.9,-4.8,72.4,-16.8,6.9,-11.4
6.22,-6.39,-68.8,-2.8,-3.4,69,-17.4,8.3,-10.1
6.23,-6.04,-65.6,-4.7,-2.9,65.8,-18.1,11.5,-7.2
6.24,-5.67,-62.8,-5.7,-3.6,63.2,-18.8,14.4,-3.3
6.25,-5.31,-60.7,-5.6,-4.9,61.1,-19.9,15.6,1.2
6.26,-4.97,-58.4,-4.3,-5.9,58.8,-21.2,14.5,5.1
6.27,-4.77,-55.8,-2.4,-6,56.2,-22.6,12,7.6
6.28,-4.73,-53.4,-1,-5.8,53.8,-23.9,9.4,8.8
6.29,-4.84,-52.2,-0.4,-5.6,52.5,-25,7.4,9
6.3,-5.08,-52.8,-0.9,-5.8,53.1,-26.4,5.3,9.3
6.31,-5.33,-55.1,-1.9,-6.6,55.5,-27.4,3.2,10.3
6.32,-5.51,-58.4,-2.6,-7.8,59,-28.2,-0.1,12
6.33,-5.58,-61.6,-2.1,-8.9,62.3,-28.6,-4.7,13.5
6.34,-5.55,-63.2,-0.1,-9.5,63.9,-28.6,-10,13.6
6.35,-5.44,-62.6,2.5,-9.1,63.3,-28.3,-14.1,11.5
6.36,-5.2,-59.7,4.5,-7.8,60.3,-28.1,-15.7,7.8
6.37,-4.98,-55.6,5.3,-6.2,56.2,-28.3,-14.4,3.6
6.38,-4.99,-51.9,5.3,-5.1,52.4,-29,-11,-0.4
6.39,-5.18,-50.4,4.9,-4.9,50.9,-29.9,-6.9,-3.9
6.4,-5.49,-51.7,4.6,-5.9,52.2,-30.7,-3.6,-7.1
6.41,-5.74,-54.4,4.4,-7.1,55.1,-31.4,-1.5,-10.3
6.42,-5.9,-56.9,4.1,-7.7,57.5,-31.9,-0.1,-13.6
6.43,-5.97,-58,3.1,-7.6,58.6,-32.1,1.9,-16.7
6.44,-5.98,-58.4,0.8,-7.3,58.9,-32.1,5.1,-18.9
6.45,-5.89,-58.7,-2.4,-7.5,59.2,-31.7,8.5,-19.2
6.46,-5.7,-58.9,-5.7,-8.1,59.7,-31,10.5,-17.2
6.47,-5.45,-58.3,-7.9,-8.5,59.5,-30.2,10.2,-12.9
6.48,-5.28,-57,-8.4,-8.3,58.2,-29.6,8.1,-7.2
6.49,-5.37,-56,-7.8,-7.7,57,-29.5,5.1,-1.5
6.5,-5.72,-56.6,-7.1,-6.9,57.5,-29.7,2.3,3.7
6.51,-6.12,-59.5,-6.9,-6,60.2,-30,0.4,8.6
6.52,-6.47,-64,-7,-5.2,64.6,-30.3,-0.3,13.4
6.53,-6.7,-69.2,-6.3,-5,69.7,-30.6,-0.4,17.9
6.54,-6.75,-73.7,-3.9,-5.5,74,-30.8,-0.8,21.1
6.55,-6.51,-76,-0.2,-6.3,76.2,-30.9,-2.2,21.7
6.56,-6.03,-73.3,4.8,-6.8,73.8,-30.7,-4.2,17.6
6.57,-5.55,-67.3,7.6,-6.8,68.1,-30.6,-5,11.3
6.58,-5.2,-60.4,8.5,-6.7,61.4,-30.5,-4.6,3.9
6.59,-5.16,-55.3,8,-7,56.3,-30.5,-3.7,-3.2
6.6,-5.39,-53.3,7.2,-7.7,54.3,-30.5,-2.8,-9.2
6.61,-5.85,-54.9,6.4,-8.8,55.9,-30.6,-2.6,-14.4
6.62,-6.52,-59.5,6,-10.2,60.6,-30.5,-3.5,-18.9
6.63,-7.19,-65.4,5.2,-10.7,66.5,-30.5,-4.9,-22.6
6.64,-7.65,-70.9,3.1,-10.1,71.7,-30.5,-5.1,-25.1
