Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Force (N),Acceleration - x (m/så_),Acceleration - y (m/så_),Acceleration - z (m/så_),Acceleration - resultant (m/så_),Angular Velocity - x (rad/s),Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
0.76,-4.61,-50.5,0.2,-3.3,50.6,-9.9,-13.7,-1.9
0.77,-4.82,-48.6,0.5,-3.3,48.7,-10,-12.4,-1.7
0.78,-5.19,-50.1,1.1,-3.7,50.3,-10.2,-11.8,-2
0.79,-5.49,-53.4,2.2,-4.3,53.6,-10.3,-11.9,-3
0.8,-5.67,-56.6,3.5,-4.5,56.9,-10.5,-12.3,-4.8
0.81,-5.82,-58.6,4.6,-4.3,59,-10.9,-12.1,-7.4
0.82,-5.83,-59.7,5,-4,60,-11.5,-11.1,-10.4
0.83,-5.8,-60,4.3,-3.9,60.2,-12.4,-9.7,-13
0.84,-5.78,-59.5,2.9,-3.8,59.7,-13.4,-8,-14.6
0.85,-5.8,-59,1.5,-3.7,59.2,-14.4,-6.3,-15.1
0.86,-6.11,-59.3,0.6,-3.9,59.4,-15.3,-4.8,-14.9
0.87,-6.54,-61.6,0,-4.2,61.7,-16.2,-3.9,-14.2
0.88,-7.09,-65.3,-0.1,-4,65.4,-17,-3,-13.5
0.89,-7.41,-69.4,0.1,-3.3,69.5,-17.9,-1,-13.1
0.9,-7.53,-73.2,0,-2.9,73.2,-18.5,2.2,-13.3
0.91,-7.4,-75.5,-1,-3.3,75.6,-18.7,5.6,-13.3
0.92,-6.98,-75.5,-2.1,-3.9,75.6,-18.5,7.9,-12.8
0.93,-6.49,-72.9,-2.6,-4,73,-18,9.1,-11.6
0.94,-6.06,-68.6,-2.6,-3.7,68.8,-17.5,9.7,-10.3
0.95,-5.71,-64.2,-2.5,-3.3,64.4,-16.9,10,-9
0.96,-5.48,-60.3,-2.8,-2.8,60.4,-16.4,10.3,-7.6
0.97,-5.44,-56.9,-3.4,-2.1,57,-15.7,11,-5.5
0.98,-5.61,-56.1,-3.9,-1.7,56.3,-15.3,12,-3.2
0.99,-5.93,-57.5,-4.2,-1.7,57.7,-15.1,13.2,-0.6
1,-6.27,-60.9,-4.1,-2.1,61.1,-15.2,14.2,2.1
1.01,-6.47,-65,-3.4,-2.9,65.2,-15.6,14.3,4.6
1.02,-6.61,-68.4,-2.3,-3.6,68.5,-16.1,13.2,6.5
1.03,-6.67,-70.2,-1.4,-3.6,70.3,-16.7,11.5,7.5
1.04,-6.54,-70.7,-1,-3.4,70.7,-17.1,10,7.9
1.05,-6.21,-69.8,-1.1,-3.2,69.9,-17.4,8.7,8.2
